zip,json
00913,"{""latitude"": 18.45022, ""longitude"": -66.04267}"
00915,"{""latitude"": 18.43691, ""longitude"": -66.04562}"
00917,"{""latitude"": 18.4214, ""longitude"": -66.05005}"
00918,"{""latitude"": 18.42138, ""longitude"": -66.06588}"
00920,"{""latitude"": 18.41571, ""longitude"": -66.08889}"
00921,"{""latitude"": 18.39224, ""longitude"": -66.08853}"
00923,"{""latitude"": 18.40953, ""longitude"": -66.03866}"
00924,"{""latitude"": 18.39827, ""longitude"": -66.01289}"
00925,"{""latitude"": 18.40031, ""longitude"": -66.05055}"
00926,"{""latitude"": 18.3462, ""longitude"": -66.05234}"
00927,"{""latitude"": 18.38875, ""longitude"": -66.07189}"
00934,"{""latitude"": 18.411379999999998, ""longitude"": -66.12399}"
00936,"{""latitude"": 18.39548, ""longitude"": -66.07376}"
00949,"{""latitude"": 18.43017, ""longitude"": -66.20883}"
00950,"{""latitude"": 18.46208, ""longitude"": -66.2376}"
00951,"{""latitude"": 18.428420000000003, ""longitude"": -66.25661}"
00952,"{""latitude"": 18.42748, ""longitude"": -66.18207}"
00953,"{""latitude"": 18.363120000000002, ""longitude"": -66.2475}"
00956,"{""latitude"": 18.32082, ""longitude"": -66.17175}"
00957,"{""latitude"": 18.36735, ""longitude"": -66.18869000000001}"
00959,"{""latitude"": 18.38485, ""longitude"": -66.15583000000001}"
00960,"{""latitude"": 18.41701, ""longitude"": -66.14446}"
00961,"{""latitude"": 18.41011, ""longitude"": -66.16538}"
00962,"{""latitude"": 18.43904, ""longitude"": -66.13928}"
00965,"{""latitude"": 18.43385, ""longitude"": -66.11486}"
00966,"{""latitude"": 18.402260000000002, ""longitude"": -66.11757}"
00968,"{""latitude"": 18.40617, ""longitude"": -66.10127}"
00969,"{""latitude"": 18.36751, ""longitude"": -66.10852}"
00971,"{""latitude"": 18.32131, ""longitude"": -66.11811}"
00976,"{""latitude"": 18.33844, ""longitude"": -65.9921}"
00979,"{""latitude"": 18.43649, ""longitude"": -66.01699}"
00982,"{""latitude"": 18.40992, ""longitude"": -65.9917}"
00983,"{""latitude"": 18.418039999999998, ""longitude"": -65.97632}"
00985,"{""latitude"": 18.40825, ""longitude"": -65.94842}"
00987,"{""latitude"": 18.33935, ""longitude"": -65.94313000000001}"
01001,"{""latitude"": 42.06258, ""longitude"": -72.6259}"
01002,"{""latitude"": 42.37492, ""longitude"": -72.4621}"
01003,"{""latitude"": 42.39192, ""longitude"": -72.52479}"
01005,"{""latitude"": 42.42018, ""longitude"": -72.10615}"
01007,"{""latitude"": 42.27875, ""longitude"": -72.40035999999999}"
01008,"{""latitude"": 42.18428, ""longitude"": -72.95203000000001}"
01009,"{""latitude"": 42.209720000000004, ""longitude"": -72.33971}"
01010,"{""latitude"": 42.12863, ""longitude"": -72.20624000000001}"
01011,"{""latitude"": 42.29653, ""longitude"": -72.95969000000001}"
01012,"{""latitude"": 42.38698, ""longitude"": -72.84631999999999}"
01013,"{""latitude"": 42.1595, ""longitude"": -72.60824000000001}"
01020,"{""latitude"": 42.17637, ""longitude"": -72.56537}"
01022,"{""latitude"": 42.197309999999995, ""longitude"": -72.54267}"
01026,"{""latitude"": 42.4633, ""longitude"": -72.92024}"
01027,"{""latitude"": 42.29508, ""longitude"": -72.74309000000001}"
01028,"{""latitude"": 42.05968, ""longitude"": -72.49908}"
01029,"{""latitude"": 42.19632, ""longitude"": -73.04836}"
01030,"{""latitude"": 42.06886, ""longitude"": -72.67999}"
01031,"{""latitude"": 42.32933, ""longitude"": -72.19821999999999}"
01032,"{""latitude"": 42.45029, ""longitude"": -72.81300999999999}"
01033,"{""latitude"": 42.26081, ""longitude"": -72.50363}"
01034,"{""latitude"": 42.08485, ""longitude"": -72.95765}"
01035,"{""latitude"": 42.35564, ""longitude"": -72.56921}"
01036,"{""latitude"": 42.06369, ""longitude"": -72.4159}"
01037,"{""latitude"": 42.37011, ""longitude"": -72.19771999999999}"
01038,"{""latitude"": 42.3855, ""longitude"": -72.60699}"
01039,"{""latitude"": 42.406290000000006, ""longitude"": -72.69362}"
01040,"{""latitude"": 42.212559999999996, ""longitude"": -72.64107}"
01050,"{""latitude"": 42.28784, ""longitude"": -72.86986}"
01053,"{""latitude"": 42.35348, ""longitude"": -72.71161}"
01054,"{""latitude"": 42.47363, ""longitude"": -72.48746}"
01056,"{""latitude"": 42.19212, ""longitude"": -72.45804}"
01057,"{""latitude"": 42.091640000000005, ""longitude"": -72.32431}"
01060,"{""latitude"": 42.32228, ""longitude"": -72.63129}"
01062,"{""latitude"": 42.3219, ""longitude"": -72.69279}"
01063,"{""latitude"": 42.3191, ""longitude"": -72.63896}"
01066,"{""latitude"": 42.40763, ""longitude"": -72.65481}"
01068,"{""latitude"": 42.35002, ""longitude"": -72.04606}"
01069,"{""latitude"": 42.18807, ""longitude"": -72.30555}"
01070,"{""latitude"": 42.51853, ""longitude"": -72.92390999999999}"
01071,"{""latitude"": 42.16035, ""longitude"": -72.86}"
01072,"{""latitude"": 42.457370000000004, ""longitude"": -72.41841}"
01073,"{""latitude"": 42.23083, ""longitude"": -72.73857}"
01074,"{""latitude"": 42.38661, ""longitude"": -72.09427}"
01075,"{""latitude"": 42.25674, ""longitude"": -72.57923000000001}"
01077,"{""latitude"": 42.05437, ""longitude"": -72.77851}"
01079,"{""latitude"": 42.19437, ""longitude"": -72.33014}"
01080,"{""latitude"": 42.18206, ""longitude"": -72.36564}"
01081,"{""latitude"": 42.06234, ""longitude"": -72.23094}"
01082,"{""latitude"": 42.2948, ""longitude"": -72.27776}"
01083,"{""latitude"": 42.20382, ""longitude"": -72.19496}"
01084,"{""latitude"": 42.39038, ""longitude"": -72.88089000000001}"
01085,"{""latitude"": 42.15371, ""longitude"": -72.76958}"
01086,"{""latitude"": 42.1304, ""longitude"": -72.79397}"
01088,"{""latitude"": 42.3901, ""longitude"": -72.6478}"
01089,"{""latitude"": 42.12534, ""longitude"": -72.65026999999999}"
01092,"{""latitude"": 42.19972, ""longitude"": -72.23727}"
01093,"{""latitude"": 42.43439, ""longitude"": -72.65304}"
01094,"{""latitude"": 42.35945, ""longitude"": -72.13847}"
01095,"{""latitude"": 42.127629999999996, ""longitude"": -72.42994}"
01096,"{""latitude"": 42.4042, ""longitude"": -72.76817}"
01097,"{""latitude"": 42.17603, ""longitude"": -72.8313}"
01098,"{""latitude"": 42.3946, ""longitude"": -72.94242}"
01103,"{""latitude"": 42.104, ""longitude"": -72.59204}"
01104,"{""latitude"": 42.134029999999996, ""longitude"": -72.56681}"
01105,"{""latitude"": 42.09916, ""longitude"": -72.57898}"
01106,"{""latitude"": 42.047909999999995, ""longitude"": -72.57176}"
01107,"{""latitude"": 42.12129, ""longitude"": -72.6055}"
01108,"{""latitude"": 42.08055, ""longitude"": -72.55983}"
01109,"{""latitude"": 42.11837, ""longitude"": -72.54875}"
01118,"{""latitude"": 42.09476, ""longitude"": -72.52534}"
01119,"{""latitude"": 42.12455, ""longitude"": -72.51122}"
01128,"{""latitude"": 42.094879999999996, ""longitude"": -72.48814}"
01129,"{""latitude"": 42.12099, ""longitude"": -72.48774}"
01151,"{""latitude"": 42.15294, ""longitude"": -72.50877}"
01199,"{""latitude"": 42.12065, ""longitude"": -72.6045}"
01201,"{""latitude"": 42.44993, ""longitude"": -73.27644000000001}"
01220,"{""latitude"": 42.62372, ""longitude"": -73.11718}"
01222,"{""latitude"": 42.05898, ""longitude"": -73.32078}"
01223,"{""latitude"": 42.31176, ""longitude"": -73.0994}"
01224,"{""latitude"": 42.50662, ""longitude"": -73.19745999999999}"
01225,"{""latitude"": 42.562670000000004, ""longitude"": -73.15484000000001}"
01226,"{""latitude"": 42.48168, ""longitude"": -73.13991999999999}"
01229,"{""latitude"": 42.27799, ""longitude"": -73.33204}"
01230,"{""latitude"": 42.18476, ""longitude"": -73.34368}"
01235,"{""latitude"": 42.42975, ""longitude"": -73.07240999999999}"
01236,"{""latitude"": 42.26658, ""longitude"": -73.3767}"
01237,"{""latitude"": 42.54971, ""longitude"": -73.26265}"
01238,"{""latitude"": 42.29522, ""longitude"": -73.22879}"
01240,"{""latitude"": 42.37208, ""longitude"": -73.27646}"
01242,"{""latitude"": 42.33328, ""longitude"": -73.24920999999999}"
01243,"{""latitude"": 42.351459999999996, ""longitude"": -73.02322}"
01244,"{""latitude"": 42.11608, ""longitude"": -73.26271}"
01245,"{""latitude"": 42.188179999999996, ""longitude"": -73.21891}"
01247,"{""latitude"": 42.69546, ""longitude"": -73.07996}"
01253,"{""latitude"": 42.211870000000005, ""longitude"": -73.11616}"
01254,"{""latitude"": 42.37982, ""longitude"": -73.36545}"
01255,"{""latitude"": 42.108340000000005, ""longitude"": -73.1229}"
01256,"{""latitude"": 42.596270000000004, ""longitude"": -73.01957}"
01257,"{""latitude"": 42.09701, ""longitude"": -73.36886}"
01258,"{""latitude"": 42.10257, ""longitude"": -73.46175}"
01259,"{""latitude"": 42.07553, ""longitude"": -73.23564}"
01260,"{""latitude"": 42.29587, ""longitude"": -73.34517}"
01262,"{""latitude"": 42.29354, ""longitude"": -73.31770999999999}"
01264,"{""latitude"": 42.23409, ""longitude"": -73.19903000000001}"
01266,"{""latitude"": 42.30802, ""longitude"": -73.38405}"
01267,"{""latitude"": 42.67197, ""longitude"": -73.23904}"
